,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,model,power_per_liter,km_per_year
769,2008,85000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,235.3596,5,3000.0,Hyundai,Verna,7.367716008037508e-05,5000.0
770,2003,120000,Diesel,Individual,Manual,Third Owner,20.8,1527,58.0,789.0,5,2250.0,Maruti,Zen,3.7982973149967256e-05,5454.545454545455
771,2019,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,833.3333333333334
772,2016,50000,Diesel,Individual,Manual,First Owner,19.87,1461,83.8,200.0,5,1750.0,Renault,Duster,5.735797399041752e-05,5555.555555555556
773,2019,5000,Petrol,Individual,Manual,First Owner,20.0,999,72.0,96.0,7,3500.0,Renault,Triber,7.207207207207208e-05,833.3333333333334
774,2011,80000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,101.0,5,3000.0,Maruti,Eeco,6.103678929765886e-05,5714.285714285715
775,2007,60000,Petrol,Individual,Manual,Second Owner,18.2,1061,64.0,84.0,5,3500.0,Maruti,Zen,6.0320452403393026e-05,3333.3333333333335
776,2017,63186,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,Hyundai,i20,6.356017191977077e-05,7898.25
777,2008,219000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,1500.0,Mahindra,Bolero,2.497027348394768e-05,12882.35294117647
778,2013,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.0,200.0,7,3400.0,Toyota,Innova,4.0096230954290296e-05,9166.666666666666
779,2012,151000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,200.05565999999996,8,3400.0,Toyota,Innova,4.08981555733761e-05,11615.384615384615
780,2010,91500,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,6100.0
781,2015,23000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,2300.0
782,2012,40000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250.0,5,2500.0,Volkswagen,Vento,6.483103879849812e-05,3076.923076923077
783,2018,10000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,360.0,7,3400.0,Toyota,Innova,6.225045372050817e-05,1428.5714285714287
784,2014,90000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,200.0,7,2200.0,Mahindra,Scorpio,2.972651605231867e-05,8181.818181818182
785,2016,68000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109.0,5,4500.0,Honda,Brio,7.24540901502504e-05,7555.555555555556
786,2013,120000,Diesel,Individual,Manual,First Owner,22.7,1582,126.24,259.87,5,2750.0,Hyundai,Elantra,7.979772439949431e-05,10000.0
787,2013,65000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,205.0,5,1750.0,Chevrolet,Sail,6.161858974358974e-05,5416.666666666667
788,2005,85000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,115.0,5,3200.0,Hyundai,Getz,6.189410887397464e-05,4250.0
789,2011,94000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,90.0,5,3500.0,Maruti,Wagon,6.723446893787574e-05,6714.285714285715
790,2015,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,Hyundai,i20,6.356017191977077e-05,10000.0
791,2015,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,Hyundai,i20,6.356017191977077e-05,8000.0
792,2013,80000,Diesel,Individual,Manual,Third Owner,22.07,1199,73.9,180.0,5,2000.0,Volkswagen,Polo,6.163469557964972e-05,6666.666666666667
793,2011,140500,Diesel,Individual,Manual,Third Owner,17.88,1396,52.8,85.0,5,2500.0,Tata,Indica,3.782234957020057e-05,10035.714285714286
794,2013,60000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90.0,5,3500.0,Maruti,Alto,6.723446893787574e-05,5000.0
795,2011,120000,Diesel,Individual,Manual,Second Owner,18.4,1248,75.0,190.0,5,1750.0,Tata,Indica,6.009615384615385e-05,8571.42857142857
796,2014,80000,Diesel,Individual,Automatic,Second Owner,13.01,2199,194.3,436.39,7,2500.0,Hyundai,Santa,8.835834470213734e-05,7272.727272727273
797,2014,63000,Diesel,Individual,Manual,Second Owner,18.06,2523,63.0,182.5,7,1800.0,Mahindra,Thar,2.497027348394768e-05,5727.272727272727
798,2009,120000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,90.3,5,4200.0,Chevrolet,Spark,6.231155778894472e-05,7500.0
799,2018,100000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,Maruti,Swift,5.931089743589743e-05,14285.714285714286
800,2018,60000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,4850.0,Hyundai,Verna,7.624135763670648e-05,8571.42857142857
801,2013,90000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,171.0,9,1800.0,Chevrolet,Tavera,2.8971588635454186e-05,7500.0
802,2014,50000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7,1750.0,Maruti,Ertiga,7.112179487179488e-05,4545.454545454545
803,2015,70000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,280.0,7,2800.0,Mahindra,Scorpio,5.5071133547498853e-05,7000.0
804,2010,40000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Mahindra,Xylo,6.559294871794872e-05,2666.6666666666665
805,2006,120000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,132.389775,5,3000.0,Tata,Indigo,4.98220640569395e-05,6315.789473684211
806,2013,195000,Diesel,Individual,Manual,First Owner,14.0,2523,75.0,200.0,8,2200.0,Mahindra,Scorpio,2.972651605231867e-05,16250.0
807,2012,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,320.0,7,2700.0,Tata,Safari,6.334557136301056e-05,9230.76923076923
808,2012,360003,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90.0,5,3500.0,Maruti,Wagon,6.723446893787574e-05,27692.53846153846
809,1999,60000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,2500.0,Maruti,800,4.648241206030151e-05,2307.6923076923076
810,2016,20000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,2222.222222222222
811,2014,37000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,Mahindra,Bolero,2.461355529131986e-05,3363.6363636363635
812,2018,57000,Diesel,Individual,Manual,Second Owner,25.1,1248,88.5,200.0,5,1750.0,Maruti,S-Cross,7.091346153846153e-05,8142.857142857143
813,2011,110000,Diesel,Individual,Manual,Second Owner,16.2,1493,110.0,235.3596,5,2750.0,Hyundai,Verna,7.367716008037508e-05,7857.142857142857
814,2006,110000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,146.11908499999998,5,3000.0,Hyundai,Verna,6.454033771106941e-05,5789.473684210527
815,2013,120000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.57,200.0,8,3400.0,Toyota,Innova,4.032477947072975e-05,10000.0
816,2019,8079,Diesel,Dealer,Manual,First Owner,24.7,1047,69.0,140.0,5,3000.0,Tata,Tigor,6.59025787965616e-05,1346.5
817,2015,114368,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,200.0,7,3600.0,Toyota,Innova,4.033680834001604e-05,11436.8
818,2012,79990,Diesel,Dealer,Manual,Second Owner,17.8,1399,67.0,160.0,5,2000.0,Ford,Fiesta,4.7891350964974984e-05,6153.076923076923
819,2012,81632,Diesel,Dealer,Manual,First Owner,20.0,1399,68.0,160.0,5,2000.0,Ford,Figo,4.860614724803431e-05,6279.384615384615
820,2014,101504,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,204.0,5,2750.0,Ford,Ecosport,5.997329773030708e-05,9227.636363636364
821,2012,90165,Diesel,Dealer,Manual,First Owner,17.8,1399,67.0,160.0,5,2000.0,Ford,Fiesta,4.7891350964974984e-05,6935.7692307692305
822,2013,85036,Diesel,Dealer,Manual,Second Owner,15.1,2179,140.0,330.0,7,2800.0,Mahindra,XUV500,6.424965580541533e-05,7086.333333333333
823,2013,160254,Diesel,Dealer,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Fiat,Punto,6.559294871794872e-05,13354.5
824,2013,125531,Diesel,Dealer,Manual,Second Owner,22.77,1498,98.59,205.0,5,3250.0,Ford,EcoSport,6.581441922563418e-05,10460.916666666666
825,2019,10000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,4850.0,Hyundai,Verna,7.624135763670648e-05,1666.6666666666667
826,2018,40000,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,260.0,5,2750.0,Tata,Nexon,7.247828991315965e-05,5714.285714285715
827,2008,120000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146.0,5,4800.0,Honda,City,7.882431529726119e-05,7058.823529411765
828,2013,100000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,190.0,5,2000.0,Maruti,Ritz,5.924679487179487e-05,8333.333333333334
829,2011,110000,Diesel,Individual,Manual,Third Owner,17.8,1399,68.0,159.848395,5,3000.0,Ford,Fiesta,4.860614724803431e-05,7857.142857142857
830,2008,120000,Diesel,Individual,Manual,Third Owner,16.8,1405,68.0,127.48644999999999,5,3000.0,Tata,Indica,4.839857651245551e-05,7058.823529411765
831,2000,206000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,8240.0
832,2017,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,90.0,5,3500.0,Maruti,Celerio,6.717434869739479e-05,5000.0
833,2011,170000,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,305.0,5,2000.0,Chevrolet,Optra,6.212958312405826e-05,12142.857142857143
834,2017,105000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,219.7,5,2750.0,Hyundai,Creta,6.353868194842407e-05,13125.0
835,2011,80000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,180.0,5,2000.0,Volkswagen,Polo,6.163469557964972e-05,5714.285714285715
836,2011,60000,Petrol,Individual,Manual,First Owner,16.2,1599,103.2,146.11908499999998,5,3000.0,Hyundai,Verna,6.454033771106941e-05,4285.714285714285
837,2015,70000,Diesel,Individual,Manual,Third Owner,25.1,1498,98.6,200.0,5,1750.0,Honda,City,6.58210947930574e-05,7000.0
838,2009,90000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,5625.0
839,2019,25000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,Maruti,Swift,5.931089743589743e-05,4166.666666666667
840,2015,53000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69.0,5,3500.0,Maruti,Alto,5.942211055276382e-05,5300.0
841,2011,90000,Diesel,Individual,Manual,Second Owner,13.55,2179,118.35,250.0,7,3000.0,Tata,Sumo,5.431390546122074e-05,6428.571428571428
842,2011,60000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,200.05565999999996,7,3400.0,Toyota,Innova,4.08981555733761e-05,4285.714285714285
843,2014,150000,Diesel,Individual,Manual,First Owner,13.0,2982,168.5,343.0,7,3400.0,Toyota,Fortuner,5.650570087189805e-05,13636.363636363636
844,2014,24000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,247.0,6,2000.0,Mahindra,Thar,4.2033626901521216e-05,2181.818181818182
845,2016,100000,Diesel,Individual,Manual,Second Owner,24.2,1498,98.6,200.0,7,1750.0,Honda,Mobilio,6.58210947930574e-05,11111.111111111111
846,2018,6000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,6,3600.0,Mahindra,KUV,6.844741235392321e-05,857.1428571428571
847,2013,49700,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330.0,7,2800.0,Mahindra,XUV500,6.424965580541533e-05,4141.666666666667
848,2007,80000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,200.05565999999996,7,3400.0,Toyota,Innova,4.08981555733761e-05,4444.444444444444
849,2000,100000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Toyota,Qualis,6.559294871794872e-05,4000.0
850,2019,10000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,1666.6666666666667
851,2019,21000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,3500.0
852,2013,25000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90.0,5,3500.0,Maruti,Alto,6.723446893787574e-05,2083.3333333333335
853,2016,22000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,2444.4444444444443
854,2016,20000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,90.0,5,3500.0,Maruti,Alto,6.718436873747495e-05,2222.222222222222
855,2017,15000,Petrol,Individual,Automatic,First Owner,15.4,1497,117.3,145.0,7,4600.0,Honda,BRV,7.83567134268537e-05,1875.0
856,2018,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,215.0,5,3000.0,Ford,Figo,6.608811748998665e-05,4285.714285714285
857,2017,6550,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,110.0,5,4800.0,Honda,Jazz,7.397831526271893e-05,818.75
858,2016,30000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160.0,5,2750.0,Hyundai,Grand,6.25e-05,3333.3333333333335
859,2013,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993,241.0,540.0,4,2000.0,BMW,X6,8.052121617106583e-05,4666.666666666667
860,2018,41779,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,5968.428571428572
861,2016,54000,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,110.0,5,4800.0,Honda,Jazz,7.397831526271893e-05,6000.0
862,2016,31000,Diesel,Dealer,Automatic,First Owner,13.0,2143,204.0,500.0,5,1800.0,Mercedes-Benz,E-Class,9.519365375641624e-05,3444.4444444444443
863,2017,37000,Diesel,Individual,Automatic,First Owner,26.8,1248,74.0,190.0,5,2000.0,Maruti,Ignis,5.929487179487179e-05,4625.0
864,2011,90000,Diesel,Individual,Automatic,Second Owner,18.1,1991,147.9,327.0,4,2600.0,Chevrolet,Cruze,7.428427925665496e-05,6428.571428571428
865,2018,13534,Petrol,Dealer,Manual,First Owner,14.28,1798,138.03,173.0,5,4000.0,Toyota,Corolla,7.67686318131257e-05,1933.4285714285713
866,2017,23000,Diesel,Dealer,Automatic,First Owner,17.9,2143,136.0,300.0,5,3000.0,Mercedes-Benz,GLA,6.346243583761083e-05,2875.0
867,2019,43000,Diesel,Dealer,Automatic,First Owner,11.36,2755,171.5,360.0,8,3400.0,Toyota,Innova,6.225045372050817e-05,7166.666666666667
868,2020,5000,Diesel,Dealer,Automatic,First Owner,17.8,1493,113.4,250.0,5,2750.0,Kia,Seltos,7.595445411922305e-05,1000.0
869,2017,70000,Diesel,Dealer,Manual,First Owner,28.09,1248,88.5,200.0,5,1750.0,Maruti,Ciaz,7.091346153846153e-05,8750.0
870,2016,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,250.0,5,2500.0,Skoda,Rapid,6.910547396528704e-05,11000.0
871,2018,28156,Diesel,Dealer,Automatic,First Owner,17.09,2993,261.4,620.0,4,2500.0,BMW,6,8.733711994654192e-05,4022.285714285714
872,2015,30000,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,110.0,5,4800.0,Honda,Jazz,7.397831526271893e-05,3000.0
873,2017,63309,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,Hyundai,Creta,7.97724399494311e-05,7913.625
874,2016,94000,Diesel,Dealer,Automatic,First Owner,11.36,2755,171.5,360.0,7,3400.0,Toyota,Innova,6.225045372050817e-05,10444.444444444445
875,2017,155000,Diesel,Individual,Manual,First Owner,25.0,1396,69.01,140.0,5,3000.0,Tata,Indigo,4.9434097421203444e-05,19375.0
876,2016,35000,Petrol,Individual,Automatic,First Owner,23.1,998,67.04,90.0,5,3500.0,Maruti,Celerio,6.717434869739479e-05,3888.8888888888887
877,2018,50000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,190.24,5,2250.0,Hyundai,Grand,6.236930860033726e-05,7142.857142857143
878,2010,185000,Diesel,Individual,Manual,First Owner,14.8,2499,80.0,186.32635,7,3000.0,Chevrolet,Tavera,3.201280512204882e-05,12333.333333333334
879,2013,175000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,135.0,5,2500.0,Tata,Indigo,4.94269340974212e-05,14583.333333333334
880,2016,11500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,1277.7777777777778
881,2019,3000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,190.25,5,2250.0,Hyundai,Xcent,6.236930860033726e-05,500.0
882,2015,80000,Diesel,Individual,Manual,Second Owner,22.1,1248,74.0,190.0,5,1750.0,Chevrolet,Sail,5.929487179487179e-05,8000.0
883,2005,40000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,2000.0
884,2015,90000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,190.0,5,2000.0,Maruti,Ritz,5.924679487179487e-05,9000.0
885,2012,25000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,160.0,5,2000.0,Mahindra,Verito,4.449007529089664e-05,1923.076923076923
886,2011,50000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,290.0,8,2800.0,Mahindra,Scorpio,5.5071133547498853e-05,3571.4285714285716
887,2018,31800,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,114.73,5,4000.0,Hyundai,Elite,6.83876357560568e-05,4542.857142857143
888,2014,65000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.8,5,4000.0,Hyundai,i10,6.591478696741855e-05,5909.090909090909
889,2012,70000,Diesel,Individual,Manual,Second Owner,20.8,1461,65.0,160.0,5,2000.0,Mahindra,Verito,4.449007529089664e-05,5384.615384615385
890,2017,5000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,4000.0,Ford,Figo,7.25752508361204e-05,625.0
891,2017,50000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,4000.0,Hyundai,EON,6.781326781326781e-05,6250.0
892,2011,80000,Diesel,Individual,Manual,First Owner,17.2,1396,53.5,83.35652499999999,5,3000.0,Tata,Indica,3.832378223495702e-05,5714.285714285715
893,2014,70000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,171.0,9,1800.0,Chevrolet,Tavera,2.8971588635454186e-05,6363.636363636364
894,2013,157000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,Mahindra,Bolero,2.461355529131986e-05,13083.333333333334
895,2011,80000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,4500.0,Hyundai,i10,6.266114180478821e-05,5714.285714285715
896,2004,90000,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Hyundai,Santro,6.559294871794872e-05,4285.714285714285
897,2004,80000,Petrol,Individual,Automatic,Third Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Hyundai,Santro,6.559294871794872e-05,3809.5238095238096
898,2012,80000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Toyota,Etios,6.559294871794872e-05,6153.846153846154
899,2012,70000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,160.0,5,2000.0,Mahindra,Verito,4.449007529089664e-05,5384.615384615385
900,2009,50000,Petrol,Individual,Manual,Second Owner,16.0,995,63.0,90.22117999999999,5,3000.0,Chevrolet,Spark,6.331658291457285e-05,3125.0
901,2012,60000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160.0,5,2000.0,Ford,Figo,4.860614724803431e-05,4615.384615384615
902,2014,106000,Diesel,Individual,Manual,Second Owner,20.8,1461,65.0,160.0,5,2000.0,Mahindra,Verito,4.449007529089664e-05,9636.363636363636
903,2006,80000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,290.0,7,2800.0,Mahindra,Scorpio,5.5071133547498853e-05,4210.526315789473
904,2016,80000,Diesel,Individual,Manual,Second Owner,15.96,2523,63.0,180.0,9,1500.0,Mahindra,Bolero,2.497027348394768e-05,8888.888888888889
905,2013,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.0,200.0,8,3400.0,Toyota,Innova,4.0096230954290296e-05,9166.666666666666
906,2011,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,180.0,7,1500.0,Mahindra,Bolero,2.497027348394768e-05,8571.42857142857
907,2010,70000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84.0,5,3500.0,Maruti,Wagon,6.314797360980208e-05,4666.666666666667
908,2018,60000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,190.25,5,2250.0,Hyundai,Xcent,6.236930860033726e-05,8571.42857142857
909,2017,15000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,1875.0
910,2011,40000,Petrol,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Zen,6.559294871794872e-05,2857.1428571428573
911,2010,135000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,8,2200.0,Mahindra,Xylo,4.483586869495596e-05,9000.0
912,2018,26300,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114.0,5,3500.0,Tata,Tiago,7.005838198498748e-05,3757.1428571428573
913,2014,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,Mahindra,Bolero,2.461355529131986e-05,10909.09090909091
914,2017,35000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,Maruti,Swift,5.931089743589743e-05,4375.0
915,2015,30000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5,4000.0,Maruti,Swift,6.945697577276525e-05,3000.0
916,2012,165000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,Mahindra,Bolero,2.461355529131986e-05,12692.307692307691
917,2015,50000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140.0,5,4000.0,Tata,Zest,7.435037720033529e-05,5000.0
918,2010,100000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,160.0,5,2000.0,Ford,Figo,4.860614724803431e-05,6666.666666666667
919,2009,90000,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Omni,6.559294871794872e-05,5625.0
920,2007,120000,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,1421.96425,5,3000.0,Maruti,SX4,6.600252206809585e-05,6666.666666666667
921,2017,70000,Petrol,Individual,Manual,Second Owner,17.5,1373,91.1,130.0,7,4000.0,Maruti,Ertiga,6.63510560815732e-05,8750.0
922,2008,90000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Swift,6.559294871794872e-05,5294.117647058823
923,2014,72000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,Hyundai,i20,6.836257309941521e-05,6545.454545454545
924,2017,50000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,4250.0,Renault,KWID,6.706706706706707e-05,6250.0
925,1996,5000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Mahindra,Jeep,6.559294871794872e-05,172.41379310344828
926,2013,30000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,51.0,4,500.0,Tata,Nano,6.0064102564102556e-05,2500.0
927,2015,110000,Diesel,Individual,Manual,First Owner,26.21,1248,88.5,200.0,5,1750.0,Maruti,Ciaz,7.091346153846153e-05,11000.0
928,2017,25000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,3125.0
929,2014,120000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,7,3400.0,Toyota,Innova,4.033680834001604e-05,10909.09090909091
930,2006,40000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,2105.2631578947367
931,2019,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,4386.0,Renault,KWID,6.670838548185232e-05,1666.6666666666667
932,2010,65000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84.0,5,3500.0,Maruti,Wagon,6.314797360980208e-05,4333.333333333333
933,2019,10000,CNG,Individual,Manual,First Owner,21.94,1196,61.7,85.0,5,3000.0,Maruti,Eeco,5.15886287625418e-05,1666.6666666666667
934,2012,110000,Petrol,Individual,Manual,Second Owner,13.87,1390,75.0,110.0,5,3000.0,Mahindra,Verito,5.3956834532374096e-05,8461.538461538461
935,2008,120000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,1500.0,Mahindra,Bolero,2.497027348394768e-05,7058.823529411765
936,2015,72000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101.0,5,3000.0,Maruti,Eeco,6.103678929765886e-05,7200.0
937,2014,89100,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,190.0,5,2000.0,Maruti,Ritz,5.924679487179487e-05,8100.0
938,2006,94000,Petrol,Individual,Manual,Second Owner,17.4,1599,104.0,148.0,5,3500.0,Chevrolet,Optra,6.504065040650407e-05,4947.368421052632
939,2015,120000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,4000.0,Hyundai,EON,6.781326781326781e-05,12000.0
940,2012,110000,Petrol,Individual,Manual,First Owner,16.2,995,62.1,90.3,5,4200.0,Chevrolet,Spark,6.241206030150755e-05,8461.538461538461
941,2018,50000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,200.0,5,1750.0,Maruti,Ciaz,7.091346153846153e-05,7142.857142857143
942,2004,90000,Diesel,Individual,Manual,Third Owner,16.8,1405,62.0,122.583125,5,3000.0,Tata,Indica,4.412811387900356e-05,4285.714285714285
943,2014,23000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,108.5,5,5000.0,Chevrolet,Sail,6.872393661384487e-05,2090.909090909091
944,2013,50000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59.0,5,2500.0,Maruti,Omni,4.296482412060302e-05,4166.666666666667
945,2017,140000,CNG,Individual,Manual,First Owner,21.94,1196,61.7,85.0,5,3000.0,Maruti,Eeco,5.15886287625418e-05,17500.0
946,2019,16000,Petrol,Individual,Automatic,First Owner,17.4,1197,81.86,117.0,5,4000.0,Hyundai,Elite,6.83876357560568e-05,2666.6666666666665
947,2019,15000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,4000.0,Hyundai,Xcent,6.83876357560568e-05,2500.0
948,2010,200000,Petrol,Individual,Manual,First Owner,17.5,1197,85.8,114.0,5,4000.0,Maruti,Swift,7.167919799498747e-05,13333.333333333334
949,2009,120000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,7500.0
